date,year,month,month_name,quarter,season,date_key
2000-01-01,2000,1,January,1,Summer,1
2000-01-02,2000,1,January,1,Summer,2
2000-01-03,2000,1,January,1,Summer,3
2000-01-04,2000,1,January,1,Summer,4
2000-01-05,2000,1,January,1,Summer,5
2000-01-06,2000,1,January,1,Summer,6
2000-01-07,2000,1,January,1,Summer,7
2000-01-08,2000,1,January,1,Summer,8
2000-01-09,2000,1,January,1,Summer,9
2000-01-10,2000,1,January,1,Summer,10
2000-01-11,2000,1,January,1,Summer,11
2000-01-12,2000,1,January,1,Summer,12
2000-01-13,2000,1,January,1,Summer,13
2000-01-14,2000,1,January,1,Summer,14
2000-01-15,2000,1,January,1,Summer,15
2000-01-16,2000,1,January,1,Summer,16
2000-01-17,2000,1,January,1,Summer,17
2000-01-18,2000,1,January,1,Summer,18
2000-01-19,2000,1,January,1,Summer,19
2000-01-20,2000,1,January,1,Summer,20
2000-01-21,2000,1,January,1,Summer,21
2000-01-22,2000,1,January,1,Summer,22
2000-01-23,2000,1,January,1,Summer,23
2000-01-24,2000,1,January,1,Summer,24
2000-01-25,2000,1,January,1,Summer,25
2000-01-26,2000,1,January,1,Summer,26
2000-01-27,2000,1,January,1,Summer,27
2000-01-28,2000,1,January,1,Summer,28
2000-01-29,2000,1,January,1,Summer,29
2000-01-30,2000,1,January,1,Summer,30
2000-01-31,2000,1,January,1,Summer,31
2000-02-01,2000,2,February,1,Summer,32
2000-02-02,2000,2,February,1,Summer,33
2000-02-03,2000,2,February,1,Summer,34
2000-02-04,2000,2,February,1,Summer,35
2000-02-05,2000,2,February,1,Summer,36
2000-02-06,2000,2,February,1,Summer,37
2000-02-07,2000,2,February,1,Summer,38
2000-02-08,2000,2,February,1,Summer,39
2000-02-09,2000,2,February,1,Summer,40
2000-02-10,2000,2,February,1,Summer,41
2000-02-11,2000,2,February,1,Summer,42
2000-02-12,2000,2,February,1,Summer,43
2000-02-13,2000,2,February,1,Summer,44
2000-02-14,2000,2,February,1,Summer,45
2000-02-15,2000,2,February,1,Summer,46
2000-02-16,2000,2,February,1,Summer,47
2000-02-17,2000,2,February,1,Summer,48
2000-02-18,2000,2,February,1,Summer,49
2000-02-19,2000,2,February,1,Summer,50
2000-02-20,2000,2,February,1,Summer,51
2000-02-21,2000,2,February,1,Summer,52
2000-02-22,2000,2,February,1,Summer,53
2000-02-23,2000,2,February,1,Summer,54
2000-02-24,2000,2,February,1,Summer,55
2000-02-25,2000,2,February,1,Summer,56
2000-02-26,2000,2,February,1,Summer,57
2000-02-27,2000,2,February,1,Summer,58
2000-02-28,2000,2,February,1,Summer,59
2000-02-29,2000,2,February,1,Summer,60
2000-03-01,2000,3,March,1,Autumn,61
2000-03-02,2000,3,March,1,Autumn,62
2000-03-03,2000,3,March,1,Autumn,63
2000-03-04,2000,3,March,1,Autumn,64
2000-03-05,2000,3,March,1,Autumn,65
2000-03-06,2000,3,March,1,Autumn,66
2000-03-07,2000,3,March,1,Autumn,67
2000-03-08,2000,3,March,1,Autumn,68
2000-03-09,2000,3,March,1,Autumn,69
2000-03-10,2000,3,March,1,Autumn,70
2000-03-11,2000,3,March,1,Autumn,71
2000-03-12,2000,3,March,1,Autumn,72
2000-03-13,2000,3,March,1,Autumn,73
2000-03-14,2000,3,March,1,Autumn,74
2000-03-15,2000,3,March,1,Autumn,75
2000-03-16,2000,3,March,1,Autumn,76
2000-03-17,2000,3,March,1,Autumn,77
2000-03-18,2000,3,March,1,Autumn,78
2000-03-19,2000,3,March,1,Autumn,79
2000-03-20,2000,3,March,1,Autumn,80
2000-03-21,2000,3,March,1,Autumn,81
2000-03-22,2000,3,March,1,Autumn,82
2000-03-23,2000,3,March,1,Autumn,83
2000-03-24,2000,3,March,1,Autumn,84
2000-03-25,2000,3,March,1,Autumn,85
2000-03-26,2000,3,March,1,Autumn,86
2000-03-27,2000,3,March,1,Autumn,87
2000-03-28,2000,3,March,1,Autumn,88
2000-03-29,2000,3,March,1,Autumn,89
2000-03-30,2000,3,March,1,Autumn,90
2000-03-31,2000,3,March,1,Autumn,91
2000-04-01,2000,4,April,2,Autumn,92
2000-04-02,2000,4,April,2,Autumn,93
2000-04-03,2000,4,April,2,Autumn,94
2000-04-04,2000,4,April,2,Autumn,95
2000-04-05,2000,4,April,2,Autumn,96
2000-04-06,2000,4,April,2,Autumn,97
2000-04-07,2000,4,April,2,Autumn,98
2000-04-08,2000,4,April,2,Autumn,99
2000-04-09,2000,4,April,2,Autumn,100
2000-04-10,2000,4,April,2,Autumn,101
2000-04-11,2000,4,April,2,Autumn,102
2000-04-12,2000,4,April,2,Autumn,103
2000-04-13,2000,4,April,2,Autumn,104
2000-04-14,2000,4,April,2,Autumn,105
2000-04-15,2000,4,April,2,Autumn,106
2000-04-16,2000,4,April,2,Autumn,107
2000-04-17,2000,4,April,2,Autumn,108
2000-04-18,2000,4,April,2,Autumn,109
2000-04-19,2000,4,April,2,Autumn,110
2000-04-20,2000,4,April,2,Autumn,111
2000-04-21,2000,4,April,2,Autumn,112
2000-04-22,2000,4,April,2,Autumn,113
2000-04-23,2000,4,April,2,Autumn,114
2000-04-24,2000,4,April,2,Autumn,115
2000-04-25,2000,4,April,2,Autumn,116
2000-04-26,2000,4,April,2,Autumn,117
2000-04-27,2000,4,April,2,Autumn,118
2000-04-28,2000,4,April,2,Autumn,119
2000-04-29,2000,4,April,2,Autumn,120
2000-04-30,2000,4,April,2,Autumn,121
2000-05-01,2000,5,May,2,Autumn,122
2000-05-02,2000,5,May,2,Autumn,123
2000-05-03,2000,5,May,2,Autumn,124
2000-05-04,2000,5,May,2,Autumn,125
2000-05-05,2000,5,May,2,Autumn,126
2000-05-06,2000,5,May,2,Autumn,127
2000-05-07,2000,5,May,2,Autumn,128
2000-05-08,2000,5,May,2,Autumn,129
2000-05-09,2000,5,May,2,Autumn,130
2000-05-10,2000,5,May,2,Autumn,131
2000-05-11,2000,5,May,2,Autumn,132
2000-05-12,2000,5,May,2,Autumn,133
2000-05-13,2000,5,May,2,Autumn,134
2000-05-14,2000,5,May,2,Autumn,135
2000-05-15,2000,5,May,2,Autumn,136
2000-05-16,2000,5,May,2,Autumn,137
2000-05-17,2000,5,May,2,Autumn,138
2000-05-18,2000,5,May,2,Autumn,139
2000-05-19,2000,5,May,2,Autumn,140
2000-05-20,2000,5,May,2,Autumn,141
2000-05-21,2000,5,May,2,Autumn,142
2000-05-22,2000,5,May,2,Autumn,143
2000-05-23,2000,5,May,2,Autumn,144
2000-05-24,2000,5,May,2,Autumn,145
2000-05-25,2000,5,May,2,Autumn,146
2000-05-26,2000,5,May,2,Autumn,147
2000-05-27,2000,5,May,2,Autumn,148
2000-05-28,2000,5,May,2,Autumn,149
2000-05-29,2000,5,May,2,Autumn,150
2000-05-30,2000,5,May,2,Autumn,151
2000-05-31,2000,5,May,2,Autumn,152
2000-06-01,2000,6,June,2,Winter,153
2000-06-02,2000,6,June,2,Winter,154
2000-06-03,2000,6,June,2,Winter,155
2000-06-04,2000,6,June,2,Winter,156
2000-06-05,2000,6,June,2,Winter,157
2000-06-06,2000,6,June,2,Winter,158
2000-06-07,2000,6,June,2,Winter,159
2000-06-08,2000,6,June,2,Winter,160
2000-06-09,2000,6,June,2,Winter,161
2000-06-10,2000,6,June,2,Winter,162
2000-06-11,2000,6,June,2,Winter,163
2000-06-12,2000,6,June,2,Winter,164
2000-06-13,2000,6,June,2,Winter,165
2000-06-14,2000,6,June,2,Winter,166
2000-06-15,2000,6,June,2,Winter,167
2000-06-16,2000,6,June,2,Winter,168
2000-06-17,2000,6,June,2,Winter,169
2000-06-18,2000,6,June,2,Winter,170
2000-06-19,2000,6,June,2,Winter,171
2000-06-20,2000,6,June,2,Winter,172
2000-06-21,2000,6,June,2,Winter,173
2000-06-22,2000,6,June,2,Winter,174
2000-06-23,2000,6,June,2,Winter,175
2000-06-24,2000,6,June,2,Winter,176
2000-06-25,2000,6,June,2,Winter,177
2000-06-26,2000,6,June,2,Winter,178
2000-06-27,2000,6,June,2,Winter,179
2000-06-28,2000,6,June,2,Winter,180
